species,spines,leaf_type,life_form,growth_form,n_samples_growth_form,growth_form_simple,biomass_density,n_samples_biomass_density,leaf_length,n_samples_leaf_length,leaf_width,n_samples_leaf_width,plant_height_max,plant_height_mean,n_samples_plant_height,leaf_size,leaf_area,n_samples_leaf_size,biomass_density_ordinal
Ozoroa sphaerocarpa,n,simple,tree,tree_single_stemmed,2,single_stemmed_woody,low,2,8.6,2,1.6,2,190,145,2,10.2,13.6,2,1
Panicum coloratum,n,linear,graminoid,sparse_upward_graminoid,26,straight_herb,low,26,18.5961538461538,26,0.703846153846154,26,88,59.4230769230769,26,19.3,13.8969230769231,26,1
Panicum deustum,n,linear,graminoid,relaxed_tussock_graminoid,26,round_herb,low,26,23.1846153846154,26,1.29615384615385,26,100,45.8461538461539,26,24.4807692307692,30.7646153846154,26,1
Panicum maximum,n,linear,graminoid,relaxed_tussock_graminoid,55,round_herb,low,55,22.9854545454545,55,1.08909090909091,55,152,61.5454545454545,55,24.0745454545455,27.5512727272727,55,1
Pappea capensis,n,simple,shrub,shrub_single_stemmed,11,single_stemmed_woody,medium,11,7.02727272727273,11,2.33636363636364,11,270,114.727272727273,11,9.36363636363636,17.9254545454545,11,2
Paramollugo nudicaulis,n,simple,forb,cushion_forb,4,cushion_herb,medium,4,1.7,4,0.8,4,2,1.5,4,2.5,1.495,4,2
Parapolydora fastigiata,n,simple,forb,straight_forb,14,straight_herb,low,14,6.37857142857143,14,0.785714285714286,14,80,58.5,14,7.16428571428572,5.14,14,1
Parthenium hysterophorus,n,lobed,forb,straight_forb,1,straight_herb,low,1,8,1,4,1,70,70,1,12,32,1,1
Pelargonium peltatum,n,succulent,forb,succulent_climbing_forb,10,climbing_herb,low,10,4.31,10,4.11,10,161,36.2,10,8.42,17.92,10,1
Perotis patens,n,simple,graminoid,sparse_upward_graminoid,3,straight_herb,low,3,2.66666666666667,3,0.7,3,18,15,3,3.36666666666667,1.88333333333333,3,1
Philenoptera violacea,n,palmately_compound,shrub,shrub_multi_stemmed,11,multi_stemmed_woody,high,11,15.2636363636364,11,10.3818181818182,11,340,131.909090909091,11,25.6454545454545,176.98,11,3
Phyllanthus asperulatus,n,simple,forb,straight_forb,10,straight_herb,low,10,1.68,10,0.72,10,70,47.8,10,2.4,1.253,10,1
Phyllanthus maderaspatensis,n,simple,forb,straight_forb,11,straight_herb,low,11,1.925,12,0.441666666666667,12,47,30.4166666666667,12,2.36666666666667,0.889166666666667,12,1
Phyllanthus tenellus,n,pinnately_compound,forb,straight_forb,12,straight_herb,low,12,3.93333333333333,12,1.78333333333333,12,38,20.3333333333333,12,5.71666666666667,7.4325,12,1
Pigea serrata,n,simple,forb,straight_forb,5,straight_herb,medium,5,4.36,5,0.86,5,45,35.6,5,5.22,3.876,5,2
Plectranthus madagascariensis,n,simple,forb,messy_forb,5,messy_herb,high,5,3.42,5,3.26,5,50.3,33,5,6.68,11.888,5,3
Plumbago auriculata,n,simple,forb,round_forb,10,round_herb,high,10,5.6,10,2.15,10,90,51.7,10,7.75,12.29,10,3
Poaceae sp. 1,n,linear,graminoid,sparse_upward_graminoid,2,straight_herb,low,2,10.25,2,0.35,2,40,37.5,2,10.6,3.575,2,1
Pogonarthria squarrosa,n,linear,graminoid,sparse_upward_graminoid,5,straight_herb,low,5,13.98,5,0.34,5,16,14.6,5,14.32,4.672,5,1
Polygala sphenoptera,n,simple,forb,round_forb,2,round_herb,low,2,2.35,2,0.95,2,20,18.5,2,3.3,2.33,2,1
Portulacaria afra,n,succulent,shrub,succulent_shrub_multi_stemmed,20,multi_stemmed_woody,extremely_thick,20,1.965,20,1.36,20,450,263.05,20,3.325,2.8055,20,4
Pristimera longipetiolata,n,simple,shrub,shrub_single_stemmed,1,single_stemmed_woody,low,1,9,1,2,1,90,90,1,11,18,1,1
Ptaeroxylon obliquum,n,pinnately_compound,tree,tree_single_stemmed,10,single_stemmed_woody,medium,10,11,10,5.18,10,480,286.5,10,16.18,61.415,10,2
Ptycholobium plicatum,n,palmately_compound,forb,creeping_forb,5,creeping_herb,medium,5,3.1,5,3.28,5,32,17.6,5,6.38,10.38,5,2
Pupalia lappacea,n,simple,forb,straight_forb,8,straight_herb,low,8,6.6125,8,3.0625,8,46,32.75,8,9.675,21.89,8,1
Putterlickia pyracantha,>2,simple,shrub,shrub_multi_stemmed,14,multi_stemmed_woody,high,14,2.5,14,1.2,14,163,91.3571428571429,14,3.7,3.145,14,3
Putterlickia verrucosa,>2,simple,shrub,shrub_single_stemmed,1,single_stemmed_woody,medium,1,2.5,1,2,1,210,210,1,4.5,5,1,2
