plot_id,site_id,elevation_plot,map_plot,mat_plot,npp_plot,ndvi_plot,evi_plot,fire_frequency,years_since_last_fire,last_fire_year
addo_n1_full_in_1,addo_nyathi_full_in,188,532.099975585938,18.6499996185303,8314.2916667,6963.0976059,3357.06814,0,,0
addo_n1_full_in_2,addo_nyathi_full_in,188,532.099975585938,18.6499996185303,8314.2916667,6963.0976059,3357.06814,0,,0
addo_n1_full_in_3,addo_nyathi_full_in,186.42204284668,532.099975585938,18.6499996185303,8314.2916667,6963.0976059,3357.06814,0,,0
addo_n1_full_in_4,addo_nyathi_full_in,186,532.100036621094,18.6500015258789,8314.2916667,6963.0976059,3357.06814,0,,0
addo_n1_full_in_5,addo_nyathi_full_in,186,532.099975585938,18.6499996185303,8314.2916667,6963.0976059,3357.06814,0,,0
addo_n1_full_out_5,addo_nyathi_full_out,188,532.099975585938,18.6499996185303,8314.2916667,6963.0976059,3357.06814,0,,0
addo_n1_full_out_4,addo_nyathi_full_out,188,532.100036621094,18.6499996185303,8314.2916667,6963.0976059,3357.06814,0,,0
addo_n1_full_out_3,addo_nyathi_full_out,188,532.100036621094,18.6500015258789,8314.2916667,6963.0976059,3357.06814,0,,0
addo_n1_full_out_2,addo_nyathi_full_out,188.661636352539,532.099975585938,18.6499996185303,8318.0238095,6950.044462,3353.1170745,0,,0
addo_n1_full_out_1,addo_nyathi_full_out,188.90690612793,532.099975585938,18.6500015258789,8322.0641667,6951.5311373,3355.5622975,0,,0
addo_n2_full_in_1,addo_nyathi_full_in,206,526.799987792969,18.4499988555908,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_in_2,addo_nyathi_full_in,206,526.799987792969,18.4500007629395,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_in_3,addo_nyathi_full_in,209.942810058594,526.799987792969,18.4499988555908,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_in_4,addo_nyathi_full_in,212.63427734375,526.799987792969,18.4499988555908,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_in_5,addo_nyathi_full_in,212.163955688477,526.799987792969,18.4500007629395,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_out_5,addo_nyathi_full_out,213,526.799987792969,18.4499988555908,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_out_4,addo_nyathi_full_out,213.000015258789,526.799987792969,18.4500007629395,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_out_3,addo_nyathi_full_out,210,526.799987792969,18.4500007629395,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_out_2,addo_nyathi_full_out,206,526.799987792969,18.4500007629395,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n2_full_out_1,addo_nyathi_full_out,206,526.799987792969,18.4500007629395,8268.1666667,6884.1544118,3341.4283088,0,,0
addo_n3_full_in_1,addo_nyathi_full_in,203,526.799987792969,18.4500007629395,8038.6001773,6829.0480622,3284.1778487,0,,0
addo_n3_full_in_2,addo_nyathi_full_in,201.351257324219,526.799987792969,18.4500007629395,8023.0884354,6814.0986959,3273.7283111,0,,0
addo_n3_full_in_3,addo_nyathi_full_in,200,526.799987792969,18.4500007629395,8033.6539116,6819.8717064,3275.3655866,0,,0
addo_n3_full_in_4,addo_nyathi_full_in,200,526.799987792969,18.4500007629395,8081.2916667,6852.9907749,3291.5590406,0,,0
addo_n3_full_in_5,addo_nyathi_full_in,199.999984741211,526.799987792969,18.4500007629395,8081.2916667,6852.9907749,3291.5590406,0,,0
addo_n3_full_out_5,addo_nyathi_full_out,195,532.099975585938,18.6499996185303,8081.2916667,6852.9907749,3291.5590406,0,,0
addo_n3_full_out_4,addo_nyathi_full_out,195,532.100036621094,18.6499996185303,8064.3768116,6841.2311057,3285.809191,0,,0
addo_n3_full_out_3,addo_nyathi_full_out,196.155151367188,532.557678222656,18.7262763977051,7995.7025,6793.4868485,3262.4648017,0,,0
addo_n3_full_out_2,addo_nyathi_full_out,195,527.799987792969,18.75,7843.7934028,6682.7765814,3213.1975654,0,,0
addo_n3_full_out_1,addo_nyathi_full_out,195,527.799987792969,18.75,7870.0238095,6701.4557598,3228.1739899,0,,0
addo_jack_in_1,addo_jack_in,189,624.099975585938,18.25,8074.0625,6760.8438524,3219.4539894,0,,0
addo_jack_in_2,addo_jack_in,189,624.099975585938,18.25,8089.0899621,6805.3372667,3233.8358985,0,,0
addo_jack_in_3,addo_jack_in,187.301361083984,624.099975585938,18.25,8087.8776596,6809.7502111,3239.4099272,0,,0
addo_jack_in_4,addo_jack_in,178,624.100036621094,18.25,7888.796875,6376.8561803,3180.6201208,0,,0
addo_jack_in_5,addo_jack_in,178.995040893555,624.100036621094,18.25,7877.7256944,6351.9121747,3176.6184944,0,,0
addo_jack_in_6,addo_jack_in,176,610.670227050781,18.4089336395264,7861.487963,6315.3276332,3170.7494424,0,,0
addo_jack_in_7,addo_jack_in,177.897354125977,607.200012207031,18.4499988555908,8091.3333333,7122.7798507,3203.7294776,0,,0
addo_jack_in_8,addo_jack_in,177.999984741211,607.199951171875,18.4500007629395,8091.3333333,7122.7798507,3203.7294776,0,,0
addo_jacks_in_9,addo_jack_in,177.999984741211,607.200012207031,18.4499988555908,8091.3333333,7122.7798507,3203.7294776,0,,0
addo_jack_in_10,addo_jack_in,178.294891357422,615.700012207031,18.3500003814697,7874.2066327,6484.8398764,3163.6672452,0,,0
addo_jack_in_11,addo_jack_in,183.416763305664,615.699951171875,18.3500003814697,7909.8944444,6590.456487,3172.5640528,0,,0
addo_jack_in_12,addo_jack_in,184,615.700012207031,18.3500003814697,7940.9100379,6687.8420741,3180.3933976,0,,0
addo_jack_in_13,addo_jack_in,200,615.700012207031,18.3500003814697,7991.375,6948.9197761,3205.4720149,0,,0
addo_jack_in_14,addo_jack_in,200,615.699951171875,18.3500003814697,7991.375,6948.9197761,3205.4720149,0,,0
addo_jack_in_15,addo_jack_in,204.947814941406,615.699951171875,18.3500003814697,7991.375,6948.9197761,3205.4720149,0,,0
addo_jack_in_16,addo_jack_in,232.000015258789,631.599975585938,18.0499992370605,8141.4583333,7202.3575419,3154.1396648,0,,0
addo_jack_in_17,addo_jack_in,232.96940612793,631.600036621094,18.0499992370605,8141.4583333,7202.3575419,3154.1396648,0,,0
addo_jack_in_18,addo_jack_in,241.876968383789,631.599975585938,18.0500011444092,8141.4583333,7202.3575419,3154.1396648,0,,0
addo_jack_out_18,addo_jack_out,237.598876953125,631.600036621094,18.0500011444092,8141.4583333,7202.3575419,3154.1396648,0,,0
addo_jack_out_17,addo_jack_out,235,631.599975585938,18.0499992370605,8141.4583333,7202.3575419,3154.1396648,0,,0
